id,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,mental_health_consequence
M001,37,Female,United States,IL,NA,Yes,Yes,Often,Jun-25,No,Yes,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,Maybe,Yes,No,NA,Yes
M002,44,M,United States,IN,NA,Yes,Yes,Rarely,More than 1000,No,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,No,No,No,Don't know,No,NA,Yes
M003,32,Male,Canada,NA,NA,No,Yes,Rarely,Jun-25,No,Yes,No,No,No,No,Don't know,Somewhat difficult,No,Yes,Yes,Yes,Yes,No,No,NA,No
M004,31,Male,United Kingdom,NA,NA,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Some of them,No,Maybe,Maybe,No,Yes,NA,Yes
M005,31,Male,United States,TX,NA,Yes,Yes,Never,100-500,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Yes,Yes,Don't know,No,NA,Yes
M006,33,Male,United States,TN,NA,Yes,Yes,Sometimes,Jun-25,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,Yes,Yes,No,Maybe,Don't know,No,NA,Yes
M007,35,Female,United States,MI,NA,Yes,Yes,Sometimes,01-May,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Some of them,No,No,No,Don't know,No,NA,Yes
M008,39,M,Canada,NA,NA,Yes,No,Never,01-May,Yes,Yes,No,Yes,No,No,Yes,Don't know,No,No,No,No,No,No,No,NA,Yes
M009,42,Female,United States,IL,NA,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,No,Yes,Yes,No,Maybe,No,No,NA,Yes
M010,23,Male,Canada,NA,NA,Yes,No,Never,26-100,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,Maybe,Yes,No,NA,Yes
M011,31,Male,United States,OH,NA,Yes,Yes,Sometimes,Jun-25,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,No
M012,29,male,Bulgaria,NA,NA,No,No,Never,100-500,Yes,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,Yes,Yes,Yes,Yes,Don't know,No,NA,No
M013,42,female,United States,CA,NA,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,Maybe,Maybe,No,Yes,NA,Yes
M014,36,Male,United States,CT,NA,Yes,Yes,Never,500-1000,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Yes,Yes,No,No,Don't know,No,I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.,Yes
M015,27,Male,Canada,NA,NA,Yes,Yes,Never,Jun-25,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,Maybe,Yes,Yes,No,NA,Yes
M016,29,female,United States,IL,NA,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,Yes,Some of them,Maybe,Maybe,Don't know,No,I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. ,Yes
M017,23,Male,United Kingdom,NA,NA,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Some of them,No,Maybe,Maybe,No,No,My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work.,Yes
M018,32,Male,United States,TN,NA,No,Yes,Sometimes,Jun-25,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,No,No,No,NA,Yes
M019,46,male,United States,MD,Yes,Yes,No,Sometimes,01-May,Yes,Yes,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,Yes,Yes,No,Yes,Yes,Yes,NA,Yes
M020,36,Male,France,NA,Yes,Yes,No,NA,Jun-25,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,NA,Yes
M021,29,Male,United States,NY,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,No,Some of them,Some of them,No,No,No,No,NA,Yes
M022,31,male,United States,NC,Yes,Yes,No,Never,01-May,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,Some of them,Some of them,No,Maybe,Yes,No,NA,Yes
M023,46,Male,United States,MA,No,Yes,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Yes,No,Maybe,No,No,NA,No
M024,41,Male,United States,IA,No,No,Yes,Never,More than 1000,No,No,Don't know,No,No,Don't know,Don't know,Don't know,No,No,No,No,Yes,Don't know,No,NA,No
M025,33,male,United States,CA,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,Yes,Yes,No,Yes,Don't know,No,Relatively new job. Ask again later,No
M026,35,male,United States,TN,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,No,Don't know,No,Very easy,No,Some of them,Yes,No,Yes,No,No,Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better,Yes
M027,33,male,United States,TN,No,No,No,NA,01-May,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No,Don't know,No,NA,Yes
M028,35,Female,United States,CA,No,Yes,Yes,Rarely,Jun-25,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,Maybe,Yes,No,NA,Yes
M029,34,male,United States,OH,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,Some of them,No,No,No,No,No,NA,No
M030,37,Male,United Kingdom,NA,No,Yes,Yes,Sometimes,Jun-25,No,Yes,No,No,No,No,Don't know,Very difficult,Maybe,Some of them,No,No,Maybe,No,No,NA,Yes
M031,32,Male,United Kingdom,NA,No,No,Yes,Never,Jun-25,Yes,Yes,No,No,No,No,Don't know,Don't know,Yes,Some of them,Some of them,No,Maybe,No,No,NA,Yes
M032,31,Male,United States,PA,Yes,Yes,No,Rarely,01-May,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,No,No,No,No,No,No,Yes,NA,Yes
M033,30,male,United Kingdom,NA,No,Yes,Yes,Sometimes,500-1000,Yes,Yes,Don't know,No,No,No,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,Don't know,No,NA,Yes
M034,42,Male,United States,WA,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Some of them,Maybe,Yes,Don't know,No,I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.,Yes
M035,40,female,United States,WI,No,Yes,Yes,Sometimes,01-May,No,Yes,Yes,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,Maybe,Yes,No,NA,Yes
M036,27,Male,United States,NY,No,Yes,Yes,Rarely,Jun-25,No,Yes,No,Yes,No,No,Don't know,Very easy,No,Yes,Yes,Maybe,Maybe,Don't know,No,NA,No
M037,29,Male,Canada,NA,No,Yes,Yes,Rarely,01-May,No,Yes,No,No,No,No,Don't know,Very easy,Maybe,Some of them,No,No,No,Don't know,No,NA,Yes
M038,38,Male,Portugal,NA,No,Yes,Yes,NA,100-500,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,Maybe,No,No,NA,Yes
M039,50,M,United States,IN,No,Yes,No,NA,100-500,No,No,Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Maybe,Don't know,No,NA,Yes
M040,35,M,United States,TX,No,No,Yes,Rarely,More than 1000,Yes,No,Yes,Yes,No,Yes,Yes,Very easy,No,Yes,Yes,Maybe,Maybe,Yes,No,NA,Yes
M041,24,Male,United Kingdom,NA,No,No,Yes,Sometimes,Jun-25,No,No,No,No,No,No,Don't know,Don't know,Maybe,Some of them,No,No,Yes,No,Yes,NA,Yes
M042,35,Male,United States,MI,No,No,No,NA,More than 1000,Yes,No,Yes,Not sure,Don't know,Yes,Don't know,Somewhat difficult,Yes,Some of them,No,No,Maybe,Don't know,No,NA,No
M043,27,Male,Canada,NA,No,Yes,Yes,Sometimes,01-May,No,No,No,Yes,No,No,Yes,Very difficult,No,Some of them,No,No,No,Yes,No,NA,No
M044,18,Male,Netherlands,NA,No,No,No,Often,Jun-25,No,No,No,Not sure,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,No,No,No,No,NA,Yes
M045,30,Male,United States,IN,No,No,Yes,Sometimes,26-100,No,No,Don't know,No,No,No,Don't know,Don't know,No,No,No,No,Maybe,Don't know,No,NA,Yes
M046,38,Female,United States,TX,No,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,No,Yes,No,Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery but y'know I wasn't delivering.,Yes
M047,28,Male,United Kingdom,NA,No,Yes,Yes,NA,26-100,No,No,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,Yes,Maybe,Yes,Don't know,No,NA,Yes
M048,34,Male,United States,TN,No,Yes,Yes,NA,Jun-25,No,No,No,No,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,Yes,Don't know,No,NA,Yes
M049,26,m,Canada,NA,Yes,No,No,Sometimes,01-May,No,No,No,Yes,Yes,No,Don't know,Don't know,No,Yes,Yes,No,No,Yes,No,NA,Yes
M050,30,male,United States,IL,No,Yes,Yes,Rarely,26-100,No,No,Yes,No,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,No,Don't know,No,I just started a new job last week hence a lot of don't know's,Yes
M051,22,M,United States,TX,No,Yes,Yes,Often,Jun-25,No,No,No,Yes,No,No,Yes,Very difficult,No,No,No,No,Maybe,Don't know,No,NA,Yes
M052,33,Male,United States,UT,No,Yes,Yes,NA,100-500,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,Maybe,Maybe,Don't know,No,NA,Yes
M053,31,M,United States,NA,No,Yes,Yes,NA,100-500,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,NA,Yes
M054,32,Male,United States,TN,No,Yes,Yes,Never,01-May,Yes,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,No
M055,28,M,Switzerland,NA,No,No,No,NA,100-500,No,Yes,No,No,No,No,Don't know,Don't know,No,No,No,No,Maybe,Don't know,No,NA,No
M056,27,Male-ish,United States,NY,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Yes,No,No,Yes,Don't know,No,No,No,No,No,Don't know,No,NA,Yes
M057,32,maile,United States,TN,No,Yes,No,NA,Jun-25,Yes,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,Yes,Yes,No,No,Yes,No,NA,Yes
M058,24,Male,United States,NY,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,Yes,Yes,Yes,No,No,NA,Yes
M059,26,Male,United States,TN,No,No,No,NA,26-100,No,No,No,No,No,No,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Yes,Don't know,No,NA,No
M060,33,male,Canada,NA,No,Yes,Yes,Often,Jun-25,Yes,Yes,Don't know,No,No,No,No,Somewhat difficult,No,No,No,No,Maybe,Don't know,No,In addition to my own mental health issues I've known several coworkers that may be suffering and I don't know how to tell them I empathize and that I want to help.,Yes
M061,44,Male,United States,IA,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,Maybe,Don't know,Yes,NA,Yes
M062,26,Female,Poland,NA,No,Yes,Yes,Sometimes,26-100,Yes,No,Don't know,Not sure,Yes,Yes,Yes,Very easy,No,Yes,Yes,Maybe,Yes,Yes,No,NA,No
M063,27,Male,United Kingdom,NA,No,Yes,Yes,Never,100-500,No,No,Yes,Not sure,No,Yes,Don't know,Somewhat easy,No,Yes,Yes,Maybe,Maybe,Yes,No,NA,No
M064,26,Male,France,NA,No,Yes,Yes,NA,26-100,No,No,No,No,No,No,Don't know,Very easy,No,No,No,No,No,No,Yes,NA,Yes
M065,35,male,Canada,NA,No,No,No,Sometimes,Jun-25,No,No,Don't know,No,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,Maybe,Don't know,No,NA,No
M066,40,Male,United States,CA,No,Yes,No,Sometimes,More than 1000,Yes,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Some of them,No,No,No,No,Yes,NA,Yes
M067,23,Female,Australia,NA,No,Yes,Yes,Often,01-May,Yes,No,No,Not sure,No,No,Don't know,Very easy,No,Some of them,Yes,No,Maybe,Yes,No,Thanks for doing this research.,Yes
M068,36,M,United States,TX,No,Yes,Yes,Sometimes,100-500,Yes,No,Yes,No,Don't know,Yes,Don't know,Don't know,No,Some of them,Some of them,Maybe,Yes,Yes,No,NA,Yes
M069,31,Female,United States,NM,No,Yes,Yes,NA,26-100,Yes,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Some of them,No,No,Maybe,Don't know,No,NA,Yes
M070,34,Male,United States,NY,Yes,Yes,Yes,Rarely,01-May,Yes,Yes,No,No,No,No,Don't know,Don't know,No,Some of them,No,No,No,Don't know,No,NA,Yes
M071,28,m,France,NA,No,Yes,Yes,Never,26-100,No,Yes,No,No,No,No,Don't know,Don't know,No,Some of them,Some of them,No,No,Don't know,No,NA,Yes
M072,34,male,Canada,NA,No,Yes,Yes,Never,Jun-25,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,No,Don't know,No,NA,Yes
M073,23,Trans-female,United States,MA,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,No,Yes,Yes,No,No,No,No,NA,Yes
M074,38,Male,United Kingdom,NA,No,Yes,Yes,NA,26-100,No,No,No,No,No,Don't know,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Yes,Yes,No,NA,No
M075,33,Male,United States,CA,No,No,Yes,Never,More than 1000,No,No,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Maybe,Yes,No,NA,No
M076,19,Male,United Kingdom,NA,No,No,Yes,NA,01-May,No,No,No,Yes,No,No,No,Somewhat difficult,No,No,No,No,Maybe,No,No,NA,Yes
M077,25,Male,United States,WA,No,No,No,NA,More than 1000,Yes,No,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Yes,Yes,Maybe,Yes,Yes,No,NA,No
M078,31,Male,United States,WA,Yes,Yes,No,Sometimes,01-May,Yes,No,No,No,No,No,Yes,Somewhat difficult,No,Yes,Yes,Maybe,Maybe,Yes,No,NA,No
M079,32,Male,United States,UT,No,Yes,Yes,Sometimes,26-100,Yes,No,No,No,No,No,Don't know,Somewhat difficult,No,Some of them,No,No,Yes,No,No,NA,Yes
